//X Y Z R G B
-22.43690681 9.65992069 -2.45589089 170 0 0
-22.43840027 9.61084843 -2.46769810 170 0 0
-22.28969955 9.67021656 -2.49984288 170 0 0
-22.25172043 9.83941269 -2.48060989 170 0 0
-22.39184952 9.77659893 -2.46260095 170 0 0
-22.29241562 9.77078724 -2.47636008 170 0 0
-22.34030151 9.65223312 -2.48855305 170 0 0
-22.37360764 9.86830616 -2.46819401 170 0 0
-22.39250755 9.67800331 -2.46254492 170 0 0
-22.21054840 9.78443909 -2.48840690 170 0 0
-22.38649750 9.61325932 -2.48358703 170 0 0
-22.40788841 9.68961430 -2.46113300 170 0 0
-22.34663010 9.88150883 -2.47193909 170 0 0
-22.16438675 9.71438122 -2.50590611 170 0 0
-22.39013481 9.75113678 -2.46313405 170 0 0
-22.31156921 9.89833927 -2.47705412 170 0 0
-22.26328087 9.65869045 -2.50581288 170 0 0
-22.27363968 9.73779774 -2.48401189 170 0 0
-22.43265724 9.69494057 -2.45486903 170 0 0
-22.26895905 9.82228184 -2.47932291 170 0 0
-22.31935692 9.78264332 -2.47218895 170 0 0
-22.37367249 9.59545231 -2.49947810 170 0 0
-22.21815491 9.78780556 -2.48740196 170 0 0
-22.42183113 9.75815964 -2.46112990 170 0 0
-22.27249908 9.79892540 -2.47873402 170 0 0
-22.36071968 9.56469536 -2.51330304 170 0 0
