//X Y Z R G B
-23.02500534 9.50864601 -2.36273289 170 0 0
-23.03642082 9.56375980 -2.36898708 170 0 0
-23.12810707 9.51185322 -2.27396011 170 0 0
-22.97813606 9.42645073 -2.37519908 170 0 0
-23.02957153 9.51051521 -2.36638808 170 0 0
-23.11857414 9.45937347 -2.25764608 170 0 0
-23.02022743 9.63252068 -2.37287903 170 0 0
-23.15394592 9.44926262 -2.23758507 170 0 0
-23.17873192 9.70668125 -2.30957007 170 0 0
-22.96589279 9.58487701 -2.32337403 170 0 0
-23.01921082 9.53182411 -2.29411697 170 0 0
-23.12703323 9.71418762 -2.36337399 170 0 0
-23.07473183 9.38317680 -2.33503008 170 0 0
-23.03895187 9.50174236 -2.37364197 170 0 0
-23.11511421 9.47013283 -2.25774908 170 0 0
-23.20842552 9.39510345 -2.33486891 170 0 0
-22.99919510 9.43519306 -2.30915403 170 0 0
-23.03003502 9.52400208 -2.29133511 170 0 0
-23.13106346 9.57842827 -2.26307201 170 0 0
-23.06896591 9.48948383 -2.25462008 170 0 0
-23.05876923 9.50990963 -2.31409788 170 0 0
-23.02768326 9.49707890 -2.37574291 170 0 0
-23.07937622 9.56938744 -2.26531696 170 0 0
-23.08472443 9.65701866 -2.30580902 170 0 0
-23.18680191 9.46263409 -2.24541306 170 0 0
-22.97998428 9.59065342 -2.33924699 170 0 0
-23.12615776 9.72796917 -2.31453609 170 0 0
-23.00205612 9.56221962 -2.37029910 170 0 0
-23.00829697 9.47661972 -2.33747506 170 0 0
-23.06850433 9.71615696 -2.38002300 170 0 0
-23.03229141 9.54525471 -2.33183599 170 0 0
-23.11775970 9.67925262 -2.34900594 170 0 0
-23.03667450 9.66502285 -2.30494094 170 0 0
-23.02470207 9.54612160 -2.34369302 170 0 0
-23.05260849 9.67190933 -2.34173107 170 0 0
-23.06332779 9.60033417 -2.34503889 170 0 0
-23.07950592 9.41837406 -2.30311704 170 0 0
-23.15427971 9.44932842 -2.24677300 170 0 0
-23.00881767 9.59040928 -2.31276798 170 0 0
-23.03371048 9.46258545 -2.29491401 170 0 0
-23.00332832 9.60812283 -2.32565093 170 0 0
-23.07821846 9.53118801 -2.28613210 170 0 0
-23.05221939 9.40717030 -2.30993605 170 0 0
-23.05553246 9.67282391 -2.38635898 170 0 0
-23.08046913 9.50650692 -2.26107693 170 0 0
-23.14588547 9.44585037 -2.25369000 170 0 0
-23.04601479 9.63176823 -2.24981809 170 0 0
-23.08286095 9.70968437 -2.38813496 170 0 0
-23.03813553 9.60260868 -2.31737494 170 0 0
-23.06723785 9.56626225 -2.29973197 170 0 0
-23.13564873 9.72987175 -2.38179398 170 0 0
-23.04851723 9.50583839 -2.29102492 170 0 0
-23.03013992 9.46092701 -2.32155895 170 0 0
-23.17599869 9.58648014 -2.27050591 170 0 0
-23.00337219 9.37879181 -2.33297992 170 0 0
-23.21780586 9.54276276 -2.27364612 170 0 0
-23.16487122 9.59202576 -2.25263906 170 0 0
-23.04704475 9.55750847 -2.32845592 170 0 0
-23.00803757 9.43892384 -2.34865308 170 0 0
-23.07958984 9.55945587 -2.26263499 170 0 0
-23.06811333 9.36362743 -2.36452508 170 0 0
-23.08270454 9.41959190 -2.36957407 170 0 0
-23.04853630 9.48079014 -2.29464507 170 0 0
-23.05896950 9.38452721 -2.33668900 170 0 0
-23.06142044 9.66242218 -2.36122990 170 0 0
-23.06420708 9.43690395 -2.28485394 170 0 0
-23.17469978 9.54539967 -2.25793505 170 0 0
-23.19419098 9.47809124 -2.23719907 170 0 0
-23.03490448 9.38099861 -2.34657001 170 0 0
-23.02005768 9.51973820 -2.31084800 170 0 0
-23.14588356 9.43243885 -2.27639890 170 0 0
-23.17597198 9.54590702 -2.25971508 170 0 0
-23.09459686 9.72745895 -2.33709908 170 0 0
-23.04239655 9.51612091 -2.32220507 170 0 0
-23.11425400 9.51959229 -2.28660107 170 0 0
-23.00775719 9.52689171 -2.31983900 170 0 0
-23.03245544 9.56209660 -2.37024903 170 0 0
-23.10148621 9.38969803 -2.31830812 170 0 0
-23.04550743 9.68126774 -2.29692006 170 0 0
-23.13545036 9.46648693 -2.28561497 170 0 0
-23.05249214 9.67003155 -2.38739705 170 0 0
-23.13111687 9.53021717 -2.30372691 170 0 0
-23.09634590 9.66450596 -2.29511595 170 0 0
-23.08641052 9.38342857 -2.33602810 170 0 0
-23.00440788 9.58813477 -2.37378812 170 0 0
-23.05764961 9.49671173 -2.31532598 170 0 0
-23.16562271 9.59230423 -2.26189089 170 0 0
-23.07988358 9.36855412 -2.28547812 170 0 0
-23.35746574 9.64994526 -2.35730600 170 0 0
-23.01025963 9.61868763 -2.32162905 170 0 0
-23.10113716 9.41410160 -2.28584194 170 0 0
-23.05989647 9.38488674 -2.33845401 170 0 0
-23.05322075 9.50798893 -2.32308698 170 0 0
-23.38191605 9.69803429 -2.35708189 170 0 0
-23.05904007 9.43512154 -2.29387403 170 0 0
-23.10379791 9.56687832 -2.29784012 170 0 0
-23.04454231 9.47916412 -2.29106998 170 0 0
-23.10362816 9.48523426 -2.26818895 170 0 0
-23.09724426 9.61482143 -2.22629595 170 0 0
-23.07040596 9.62892532 -2.27088904 170 0 0
-23.13798332 9.46568584 -2.25291109 170 0 0
-23.06900597 9.42678356 -2.30724096 170 0 0
-23.07661057 9.53047180 -2.29384804 170 0 0
-23.10781288 9.53053188 -2.26086307 170 0 0
-23.15677834 9.72809124 -2.29534292 170 0 0
-23.03764725 9.51405621 -2.33625388 170 0 0
-22.98845291 9.55668831 -2.35243392 170 0 0
-23.00153923 9.58690453 -2.37838793 170 0 0
-23.03279686 9.53478718 -2.29309511 170 0 0
-23.19876862 9.39035130 -2.32426810 170 0 0
-22.99183273 9.43213844 -2.36668301 170 0 0
-23.10303879 9.54126644 -2.24667311 170 0 0
-23.02557564 9.60991859 -2.36053300 170 0 0
-23.16509628 9.45370579 -2.25395989 170 0 0
-23.19240570 9.59735775 -2.30068398 170 0 0
-23.07227516 9.62951279 -2.29915905 170 0 0
-22.99361229 9.45807934 -2.36785507 170 0 0
-23.14014816 9.54581928 -2.27262402 170 0 0
-23.07493401 9.52129936 -2.25453210 170 0 0
-23.02099228 9.48679924 -2.32296896 170 0 0
-22.99143600 9.58267689 -2.38073397 170 0 0
-22.98728561 9.59127903 -2.36089611 170 0 0
-22.99149895 9.59528446 -2.36648297 170 0 0
-23.01347542 9.61677074 -2.36263895 170 0 0
